Gender:,Age:,Which country do you currently live in? ,Brown,Shorten,Howard,Turnbull,Tunsil,Miller,Wilson,Bullard
1,26,US,,,,4,,,,4
1,20,usa,1,,,,,,4,
1,28,United States,,,,1,,,1,
1,45,USA,4,,,,,,,4
1,39,United States,,,,4,,,2,
1,25,USA,,,,4,,,,3
1,42,usa,1,,,,,,4,
2,59,USA,1,,,,,,,4
2,35,usa,,2,,,1,,,
1,47,United States,,,,4,,,,1
1,32,USA,,2,,,,,,4
2,41,United States,,,,4,1,,,
1,27,USA,,,3,,,,,4
1,44,USA,,,,4,,,,4
1,27,USA,1,,,,4,,,
1,36,USA,,,,4,1,,,
1,40,U.S.A.,1,,,,,4,,
1,39,USA,,4,,,,2,,
1,29,United States,,2,,,1,,,
2,32,USA,1,,,,,,3,
2,24,USA,,,,4,2,,,
1,52,USA,1,,,,,4,,
2,25,USA,,,,4,,,3,
1,27,United States,,2,,,,4,,
2,59,USA,,,3,,,2,,
1,38,United States of America,,,3,,,,,4
1,29,USA,,,3,,,2,,
2,32,USA,,,,4,,,,4
1,28,USA,,,,4,,,,4
1,35,USA,,,,4,,,,4
1,24,US,,,3,,,2,,
1,18,united states,,,,1,2,,,
2,32,USA,,,3,,,,3,
1,31,USA,,,3,,,,,1
2,28,USA,,,,4,,,3,
1,35,USA,,2,,,,,,4
1,56,USA,,,,4,,,,4
1,29,USA,,2,,,,3,,
1,42,USA,1,,,,,2,,
2,33,usa,,,3,,1,,,
1,34,USA,,2,,,,2,,
1,33,USA,,2,,,,2,,
1,49,USA,,2,,,,2,,
1,26,USA,,,,4,,2,,
1,32,USA,,2,,,1,,,
2,40,USA,1,,,,,,4,
2,28,USA,,2,,,,,,4
1,32,United States,,2,,,4,,,
1,40,USA,,,1,,,,1,
1,34,USA,,,,4,1,,,
1,40,United States,,2,,,,4,,
2,28,USA,,2,,,,,,3
2,56,USA,,,3,,,,1,
1,23,America,,,3,,,,4,
1,29,United States,,2,,,,,4,
1,21,United States of America,,,3,,,,,1
1,38,United States of America,,,1,,,,,1
2,26,us,,,3,,1,,,
1,33,United States of America,,,,4,1,,,
1,26,USA,,,,4,2,,,
1,50,USA,,2,,,,3,,
2,45,United States,,,,4,,2,,
1,19,USA,,2,,,,4,,
2,31,usa,1,,,,,2,,
2,67,USA,,,,4,,,3,
1,22,USA,,,3,,,,3,
1,33,USA,,,3,,,,4,
1,40,USA,,,,2,,,4,
1,30,USA,1,,,,,4,,
1,34,usa,4,,,,,1,,
1,52,United States,,2,,,,,1,
2,40,USA,,,3,,1,,,
1,35,USA,,,3,,,,,4
