Gender:,Age:,Tunsil,Miller,Wilson,Bullard,Brown,Shorten,Howard,Turnbull
2,24,,,,4,,,,4
1,19,,,,4,1,,,
1,19,4,,,,,4,,
2,19,,,3,,,4,,
2,17,,,3,,,4,,
2,18,,,3,,,,4,
2,18,,,,4,,4,,
1,18,,,3,,,,,4
2,19,,2,,,,,,4
2,17,1,,,,2,,,
2,18,1,,,,,2,,
2,18,,2,,,2,,,
2,18,1,,,,,2,,
2,18,,2,,,4,,,
2,32,,,3,,,,,4
2,19,,1,,,,4,,
2,18,1,,,,,2,,
1,18,,1,,,,,,4
2,18,,2,,,,,,4
2,28,,,3,,,2,,
2,25,,,3,,,4,,
2,18,,,3,,,,,4
2,19,,,,4,,2,,
2,18,,,,4,1,,,
2,19,,,,4,,,,4
2,18,,,3,,4,,,
2,18,,,2,,,,,4
2,18,,,3,,,,4,
2,18,,,,4,,,2,
2,19,1,,,,,,4,
2,20,,,3,,1,,,
2,19,,,,4,,4,,
1,20,,2,,,,,4,
2,18,,2,,,,,4,
2,18,,2,,,1,,,
2,19,,2,,,,,,4
2,18,,,3,,,4,,
2,18,1,,,,,,4,
2,43,,,3,,,4,,
2,19,,,3,,,4,,
2,19,,,3,,4,,,
2,22,,,,3,3,,,
2,18,1,,,,4,,,
2,19,,2,,,4,,,
2,19,,,,4,,4,,
2,19,,,2,,1,,,
1,18,,,3,,,,4,
1,18,,,,3,,,,4
2,22,1,,,,,4,,
2,17,,,,4,,,4,
2,18,1,,,,,,4,
2,19,,,,3,,,,4
2,19,,2,,,,2,,
2,19,,,,4,1,,,
1,18,1,,,,,,4,
2,20,,,3,,,,,2
1,18,1,,,,,,2,
2,18,3,,,,,,2,
2,22,,2,,,,3,,
2,18,,2,,,,,2,
1,23,,,,4,,4,,
1,18,,,,4,,4,,
1,20,,,,4,4,,,
2,19,,,,3,,,,3
2,18,,,,4,,,,1
1,22,,,3,,,,3,
2,19,,,3,,,,4,
2,18,,,3,,,,4,
1,17,,,3,,,3,,
1,18,1,,,,,,,4
2,23,,3,,,,,3,
2,18,1,,,,,,4,
2,18,,2,,,4,,,
2,20,1,,,,,,4,
1,18,1,,,,,,2,
2,19,,,,1,,,1,
2,18,,,,4,,4,,
2,17,,,3,,,4,,
2,18,,,,4,,,4,
2,17,,2,,,,,,4
2,19,,,3,,4,,,
2,19,,4,,,1,,,
2,18,,,3,,,,4,
1,24,,,3,,1,,,
1,21,,,3,,,,3,
2,17,1,,,,,,,3
2,18,,2,,,4,,,
1,18,,,2,,2,,,
1,18,,2,,,,2,,
2,18,,2,,,4,,,
1,18,,,,4,1,,,
2,49,1,,,,,,,2
2,18,,2,,,,,,2
1,18,,,3,,2,,,
1,18,,2,,,,,4,
2,21,,2,,,,,3,
2,18,,2,,,,,4,
1,19,,2,,,,,,2
2,18,4,,,,2,,,
2,18,,,4,,,,,4
2,18,,2,,,1,,,
2,22,,2,,,,,,1
2,20,,,3,,,4,,
2,18,1,,,,,,3,
2,18,1,,,,,4,,
2,17,,,3,,4,,,
2,18,,,3,,,,4,
2,18,1,,,,,,3,
2,18,1,,,,,,,2
2,18,,2,,,,4,,
2,18,,,4,,1,,,
2,21,,,,4,,,,2
2,19,,2,,,,,,4
1,17,1,,,,,,,3
1,42,,,,4,4,,,
2,18,,,3,,,,1,
2,19,,2,,,,,,4
1,18,3,,,,,4,,
2,18,,2,,,,,,4
2,18,,2,,,,,1,
2,18,3,,,,,,,4
1,19,3,,,,,,4,
1,18,3,,,,,,3,
2,19,,,3,,,,,4
